execise,Subject,unit,lesson,Id
constructing-proportions-to-solve-application-problems,enem,conhecimentos-numericos,razoes-proporcoes,xc131681e
finding_percents,enem,conhecimentos-numericos,porcentagem-juros,xc4532d76
geometric_sequences_1,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383425796
direct_and_inverse_variation,enem,conhecimentos-numericos,relacoes-dependencia-grandezas,23890555
discount_tax_and_tip_word_problems,enem,conhecimentos-numericos,porcentagem-juros,594289413
arithmetic_series,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383472697
writing_proportions,enem,conhecimentos-numericos,razoes-proporcoes,201421177
arithmetic_sequences_1,enem,conhecimentos-numericos,sequencias-progressoes-principios-contagem,1383501473
ratio_word_problems,enem,conhecimentos-numericos,razoes-proporcoes,201415654
linear_equations_2,enem,conhecimentos-algebricos,equacoes-inequacoes,3016
interpretting-solving-linear-inequalities,enem,conhecimentos-algebricos,equacoes-inequacoes,x8fd64f51
range_of_a_function,enem,conhecimentos-algebricos,graficos-funcoes,47889342
solving_quadratics_by_taking_the_square_root,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,617819647
quadratic_equation,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,2020
domain_of_a_function,enem,conhecimentos-algebricos,graficos-funcoes,2025
one_step_inequalities,enem,conhecimentos-algebricos,equacoes-inequacoes,205299729
rewriting-expressions-to-reveal-information,enem,conhecimentos-algebricos,funcoes-algebricas-1-2-graus,x9d774d82
solving_similar_triangles_1,enem,conhecimentos-geometricos,congruencia-semelhanca-triangulos,575147721
applying-right-triangles,enem,conhecimentos-geometricos,trigonometria-angulo-agudo,xf3c439ef
pythagorean_theorem_2,enem,conhecimentos-geometricos,trigonometria-angulo-agudo,3034
nets-of-3d-figures,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,xe57344e5
recognizing-shapes,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,xdced3365
area_of_squares_and_rectangles,enem,conhecimentos-geometricos,comparimentos-areas-volumes,720749512
pythagorean-theorem-word-problems,enem,conhecimentos-geometricos,relacoes-metricas-triangulos,x24844d0b
axis_of_symmetry,enem,conhecimentos-geometricos,simetrias-figuras-planas-espaciais,310282900
volume_2,enem,conhecimentos-geometricos,comparimentos-areas-volumes,x5c621858
attributes-of-shapes,enem,conhecimentos-geometricos,figuras-geometricas-planas-espaciais,x17841746
pythagorean_theorem_1,enem,conhecimentos-geometricos,relacoes-metricas-triangulos,3032
area_of_triangles_1,enem,conhecimentos-geometricos,comparimentos-areas-volumes,920312137
radius_diameter_and_circumference,enem,conhecimentos-algebricos-geometricos,circunferencias,720782619
coordinate-plane-word-problems,enem,conhecimentos-algebricos-geometricos,plano-cartesiano,x9f1166e7
vertical_angles,enem,conhecimentos-algebricos-geometricos,retas,265340597
vertical_angles_2,enem,conhecimentos-algebricos-geometricos,retas,415276545
identifying_points_1,enem,conhecimentos-algebricos-geometricos,plano-cartesiano,702001212
mean_median_and_mode,enem,conhecimentos-estatistica-probabilidade,medidas-tendencia-central,5252991
probability_1,enem,conhecimentos-estatistica-probabilidade,nocoes-pobabilidade,13179429
working-with-units,math1,math1-units,math1-appropriate-units,x7ce61eaf
rate_problems_2,math1,math1-units,math1-word-problems-with-multiple-units,297910578
units,math1,math1-units,math1-word-problems-with-multiple-units,3020
appropriate-units,math1,math1-units,math1-appropriate-units,x4a58e4aadd864ff4
rate-conversion,math1,math1-units,math1-rate-conversion,xb91ae3b639fff131
comparing-populations,math1,math1-data-dist,math1-comparing-dist,x261dfdd0
effects-of-shifting-adding-removing-data-point,math1,math1-data-dist,math1-summarizing-center,x941f8d83
analyzing-data-with-box-plots,math1,math1-data-dist,math1-box-whisker,xe7faa189
shape-of-distributions,math1,math1-data-dist,math1-dist-display,xf8cb9e89
creating-histograms,math1,math1-data-dist,math1-dist-display,xf036b7d7
reading-histograms,math1,math1-data-dist,math1-dist-display,x7581091f
interpreting-quartiles-on-box-plots,math1,math1-data-dist,math1-box-whisker,x5c914207
mean_median_and_mode,math1,math1-data-dist,math1-summarizing-center,5252991
creating-dot-plots,math1,math1-data-dist,math1-dist-display,x5397b016
box-plots,math1,math1-data-dist,math1-box-whisker,x8c941e1f
find-a-missing-value-given-the-mean,math1,math1-data-dist,math1-summarizing-center,xca846db7
analyzing-with-dot-plots,math1,math1-data-dist,math1-dist-display,x9def841d
positive_and_negative_parts_of_functions,math1,math1-functions,math1-positive-negative-increasing-decreasing-intervals,1425290397
interpret-features-func-2,math1,math1-functions,math1-interpreting-features-of-graphs,x4d40c957
functions_1,math1,math1-functions,math1-evaluating-functions,3030
evaluate-functions-from-their-graph,math1,math1-functions,math1-evaluating-functions,x07593bbf
avg-rate-of-change-graphs-tables,math1,math1-functions,math1-functions-average-rate-of-change,xb88595ea316fb6fc
avg-rate-of-change,math1,math1-functions,math1-functions-average-rate-of-change,x298c95d2
domain_and_range_0.5,math1,math1-functions,math1-domain-and-range,371794641
recognize-maxima-and-minima,math1,math1-functions,math1-maximum-and-minimum-points,x89d1c86b
functions_2,math1,math1-functions,math1-evaluating-functions,3035
match-inputs-to-outputs-from-a-graph,math1,math1-functions,math1-function-inputs-and-outputs,x477bf943
functions-from-equations,math1,math1-functions,math1-functions-and-equations,x19f363fe
function-notation-in-context,math1,math1-functions,math1-interpreting-function-notation,x67172a35
increasing-decreasing-intervals-of-functions,math1,math1-functions,math1-positive-negative-increasing-decreasing-intervals,x2c2dd2c6
interpreting-domain,math1,math1-functions,math1-determining-the-domain-of-a-function,x7a32df87
functions_matching_inputs_outputs,math1,math1-functions,math1-function-inputs-and-outputs,x950c5dc1
average-rate-of-change-word-problems,math1,math1-functions,math1-average-rate-of-change-word-problems,x36529ebe
domain-of-algebraic-functions,math1,math1-functions,math1-determining-the-domain-of-a-function,xff2c6ec0
recog-func-2,math1,math1-functions,math1-recognizing-functions,xe3f06745
recognizing_functions,math1,math1-functions,math1-recognizing-functions,xe051d459
recognize-absolute-maxima-and-minima,math1,math1-functions,math1-maximum-and-minimum-points,x6a1e5b88
recursive_explicit,math1,math1-sequences,math1-modeling-with-sequences,x9eaf696f
arithmetic_sequences_1,math1,math1-sequences,math1-introduction-to-arithmetic-squences,1383501473
evaluating-sequences-in-recursive-form,math1,math1-sequences,math1-general-sequences,x5fc169b5
geometric_sequences_1,math1,math1-sequences,math1-introduction-to-geometric-sequences,1383425796
arithmetic_sequences_2,math1,math1-sequences,math1-introduction-to-arithmetic-squences,1383308880
explicit-formulas-for-arithmetic-sequences,math1,math1-sequences,math1-constructing-arithmetic-sequences,xcc6cb393
extend-geometric-sequences-negatives-fractions,math1,math1-sequences,math1-introduction-to-geometric-sequences,x8af56baf4a0cdf5a
