exercise_name,prerequisites
2-step-estimation-word-problems,multiplication-and-division-word-problems--within-100-
2-step-estimation-word-problems,rounding-to-the-nearest-ten-or-hundred
2d-geometric-models,coordinate-plane-word-problems-with-polygons
2d-geometric-models,area-and-circumference-of-circles
absolute-value-to-find-distance,adding_and_subtracting_negative_numbers
absolute-value-word-problems,absolute_value
absolute_value,number-opposites
absolute_value_equations,writing-the-equation-of-a-line-in-any-form
absolute_value_of_complex_numbers,dividing_complex_numbers
absolute_value_of_complex_numbers,relative-position-on-the-coordinate-plane
add---subtract-polynomials--find-the-error,add---subtract-polynomials--two-variables-challenge
add---subtract-polynomials--two-variables-challenge,adding-and-subtracting-polynomials-2
add---subtract-polynomials-challenge,subtract-polynomials
add-and-subtract-mixed-numbers-word-problems--like-denominators-,adding_subtracting_mixed_numbers_0.5
add-and-subtract-mixed-numbers-word-problems--like-denominators-,adding-and-subtracting-mixed-numbers-with-like-denominators-2
add-decimals-visually,estimating-with-adding-decimals
add-decimals-visually,decimal-intuition-with-grids
add-sub-within-100-w-num-line,subtract-within-100-level-2
add-within-100--level-1,addition-and-subtraction-within-10
add-within-100--level-2,adding-1s-or-10s-to-two-digit-numbers
add-within-100--level-3,add-within-100--level-2
add-within-1000--level-1,add-within-100--level-2
add-within-1000--level-1,break-apart-three-dig-add
add-within-1000--level-2,add-within-1000--level-1
add-within-1000--level-3,add-within-1000--level-2
adding-1s-or-10s-to-two-digit-numbers,add-within-100--level-1
adding-1s-or-10s-to-two-digit-numbers,breaking-apart-two-digit-addition-problems
adding-and-subtracting-fractions-with-like-denominators-word-problems,adding_fractions_with_common_denominators
adding-and-subtracting-fractions-with-like-denominators-word-problems,subtracting_fractions_with_common_denominators
adding-and-subtracting-fractions-with-unlike-denominators,adding_fractions
adding-and-subtracting-fractions-with-unlike-denominators,subtracting_fractions
adding-and-subtracting-fractions-with-unlike-denominators-word-problems,adding_fractions
adding-and-subtracting-fractions-with-unlike-denominators-word-problems,subtracting_fractions
adding-and-subtracting-in-scientific-notation,scientific_notation
adding-and-subtracting-mixed-numbers-with-like-denominators-2,adding_subtracting_mixed_numbers_0.5
adding-and-subtracting-mixed-numbers-with-unlike-denominators-2,adding_subtracting_mixed_numbers_1
adding-and-subtracting-on-the-number-line-word-problems,subtraction_3
adding-and-subtracting-on-the-number-line-word-problems,addition-and-subtraction-word-problems-within-20--level-1
adding-and-subtracting-on-the-number-line-word-problems,comparing-lengths
adding-and-subtracting-polynomials-2,adding_and_subtracting_polynomials
adding-and-subtracting-polynomials-2,subtract-polynomials
adding-and-subtracting-within-1000-using-a-number-line,add-within-1000--level-2
adding-and-subtracting-within-1000-using-a-number-line,subtract-within-1000--level-2
adding-decimals-without-the-standard-algorithm-1,add-within-1000--level-1
adding-decimals-without-the-standard-algorithm-2,adding-decimals-without-the-standard-algorithm-1
adding-decimals-without-the-standard-algorithm-3,adding-decimals-without-the-standard-algorithm-2
adding-decimals-without-the-standard-algorithm-4,adding-decimals-without-the-standard-algorithm-6
adding-decimals-without-the-standard-algorithm-5,adding-decimals-without-the-standard-algorithm-4
adding-decimals-without-the-standard-algorithm-6,adding-decimals-without-the-standard-algorithm-3
adding-negative-numbers-on-the-number-line,adding_and_subtracting_negative_numbers
adding-negative-numbers-word-problems,adding_and_subtracting_negative_numbers
adding-probability,describing-subsets-of-sample-spaces
adding-three-numbers,addition-and-subtraction-word-problems-within-20--level-1
adding-vectors-in-magnitude-and-direction-form,adding_vectors
adding-vectors-in-magnitude-and-direction-form,inverse_trig_functions
adding-vectors-in-magnitude-and-direction-form,converting-from-magnitude-and-direction-form-to-component-form
adding-vectors-in-magnitude-and-direction-form-2,adding-vectors-in-magnitude-and-direction-form
adding_and_subtracting_complex_numbers,adding_and_subtracting_polynomials
adding_and_subtracting_complex_numbers,the-imaginary-unit-and-complex-numbers
adding_and_subtracting_decimals_word_problems,adding_decimals_2
adding_and_subtracting_decimals_word_problems,subtracting_decimals_2
adding_and_subtracting_fractions,adding_fractions
adding_and_subtracting_fractions,subtracting_fractions
adding_and_subtracting_fractions,adding_and_subtracting_negative_numbers
adding_and_subtracting_negative_numbers,adding_negative_numbers
adding_and_subtracting_polynomials,combining_like_terms_2
adding_and_subtracting_radicals,multiplying_radicals
adding_and_subtracting_rational_expressions,multiplying_and_dividing_rational_expressions_2
adding_and_subtracting_rational_expressions_0.5,factoring_polynomials_with_two_variables
adding_and_subtracting_rational_expressions_0.5,factoring_polynomials_by_grouping_1
adding_and_subtracting_rational_expressions_0.5,adding_and_subtracting_fractions
adding_and_subtracting_rational_expressions_1.5,adding_and_subtracting_rational_expressions
adding_and_subtracting_rational_expressions_2,adding_and_subtracting_rational_expressions
adding_and_subtracting_rational_expressions_3,adding_and_subtracting_rational_expressions_2
adding_and_subtracting_rational_expressions_3,least_common_multiple
adding_and_subtracting_rational_expressions_5,adding_and_subtracting_rational_expressions_3
adding_and_subtracting_rational_expressions_6,adding_and_subtracting_rational_expressions_5
adding_and_subtracting_rational_numbers,adding_and_subtracting_fractions
adding_decimals,adding_decimals_0.5
adding_decimals_0.5,adding-decimals-without-the-standard-algorithm-5
adding_decimals_2,adding_decimals
adding_fractions,adding_fractions_with_common_denominators
adding_fractions,common-denominators
adding_fractions_0.5,adding_fractions_with_common_denominators
adding_fractions_0.5,equivalent-fractions-with-denominators-of-10-and-100
adding_fractions_with_common_denominators,equivalent_fractions
adding_negative_numbers,fractions_on_the_number_line_3
adding_subtracting_mixed_numbers_0.5,subtracting_fractions_with_common_denominators
